restaurant_name,bar_type,price_level,rating_list,address_list
229. Rainforest Cafe,American,$$ - $$$,4.0,"2201 Boardwalk Ave, Atlantic City, NJ 08401"
230. Wings To Go,,,2.0,"6690 Black Horse Pike Ste 4, Egg Harbor Township, NJ 08234-1892"
231. Souzai Sushi & Sake,"Japanese, Sushi",$$ - $$$,4.0,"1 Atlantic Ocean # 4111 Level 3, The Playground Pier at Caesars, Atlantic City, NJ 08401-6689"
232. Hummus Taza,,,3.5,"6825 Tilton Rd, Egg Harbor Township, NJ 08234-4491"
233. Assaggio!,"Bar, Seafood",$$ - $$$,4.5,"500 W White Horse Pike, Galloway, NJ 08215-3740"
234. Giovanni's Pizza,Italian,$$ - $$$,3.5,"205 E Collins Rd, Galloway, NJ 08205-3753"
235. Wendy's,Fast Food,$,4.5,"798 Tilton Rd, Northfield, NJ 08225-1222"
236. Pizza Hut,Pizza,,3.0,"6825 Tilton Rd Ste 15, Egg Harbor Township, NJ 08234"
237. Chick-fil-A,American,,4.5,"101 Vera King Farris Dr College Center, Galloway, NJ 08205"
238. Muscle Maker Grill,American,$$ - $$$,4.0,"331 Tilton Rd, Northfield, NJ 08225-1201"
239. Girasole Ristorante,Italian,$$$$,4.0,"3108 Pacific Ave, Atlantic City, NJ 08401-6229"
240. Lakeside Grill,"American, Cafe",$$ - $$$,5.0,"615 E Moss Mill Rd, Smithville, NJ 08205-4804"
